"Time Stamp","Time Zone","Name","PTID","Load"
"12/17/2024 02:50:00","EST","NORTH",61755,565.1948
"12/17/2024 02:50:00","EST","WEST",61752,1594.5447
"12/17/2024 02:55:00","EST","CAPITL",61757,1170.8699
"12/17/2024 02:55:00","EST","CENTRL",61754,1527.4541
"12/17/2024 02:55:00","EST","DUNWOD",61760,528.3269
"12/17/2024 02:55:00","EST","GENESE",61753,938.0651
"12/17/2024 02:55:00","EST","HUD VL",61758,918.0803
"12/17/2024 02:55:00","EST","LONGIL",61762,1644.0703
"12/17/2024 02:55:00","EST","MHK VL",61756,801.9561
"12/17/2024 02:55:00","EST","MILLWD",61759,234.7307
"12/17/2024 02:55:00","EST","N.Y.C.",61761,4296.6978
"12/17/2024 02:55:00","EST","NORTH",61755,594.006
"12/17/2024 02:55:00","EST","WEST",61752,1619.2352
"12/17/2024 03:00:00","EST","CAPITL",61757,1165.3098
"12/17/2024 03:00:00","EST","CENTRL",61754,1534.9587
"12/17/2024 03:00:00","EST","DUNWOD",61760,520.623
"12/17/2024 03:00:00","EST","GENESE",61753,937.8732
"12/17/2024 03:00:00","EST","HUD VL",61758,923.2268
"12/17/2024 03:00:00","EST","LONGIL",61762,1639.1355
"12/17/2024 03:00:00","EST","MHK VL",61756,787.72
"12/17/2024 03:00:00","EST","MILLWD",61759,237.5111
"12/17/2024 03:00:00","EST","N.Y.C.",61761,4277.0776
"12/17/2024 03:00:00","EST","NORTH",61755,594.5715
"12/17/2024 03:00:00","EST","WEST",61752,1609.6316
"12/17/2024 03:05:00","EST","CAPITL",61757,1171.5941
"12/17/2024 03:05:00","EST","CENTRL",61754,1536.01
"12/17/2024 03:05:00","EST","DUNWOD",61760,503.3629
"12/17/2024 03:05:00","EST","GENESE",61753,940.2307
"12/17/2024 03:05:00","EST","HUD VL",61758,950.8365
"12/17/2024 03:05:00","EST","LONGIL",61762,1630.2893
"12/17/2024 03:05:00","EST","MHK VL",61756,779.5725
"12/17/2024 03:05:00","EST","MILLWD",61759,240.1906
"12/17/2024 03:05:00","EST","N.Y.C.",61761,4291.5034
"12/17/2024 03:05:00","EST","NORTH",61755,603.2541
"12/17/2024 03:05:00","EST","WEST",61752,1613.8542
"12/17/2024 03:10:00","EST","CAPITL",61757,1187.9629
"12/17/2024 03:10:00","EST","CENTRL",61754,1509.2334
"12/17/2024 03:10:00","EST","DUNWOD",61760,501.133
"12/17/2024 03:10:00","EST","GENESE",61753,942.1231
"12/17/2024 03:10:00","EST","HUD VL",61758,932.2573
"12/17/2024 03:10:00","EST","LONGIL",61762,1631.686
"12/17/2024 03:10:00","EST","MHK VL",61756,786.0151
"12/17/2024 03:10:00","EST","MILLWD",61759,245.7081
"12/17/2024 03:10:00","EST","N.Y.C.",61761,4307.3945
"12/17/2024 03:10:00","EST","NORTH",61755,597.8766
"12/17/2024 03:10:00","EST","WEST",61752,1629.1084
"12/17/2024 03:15:00","EST","CAPITL",61757,1164.0371
"12/17/2024 03:15:00","EST","CENTRL",61754,1543.0193
"12/17/2024 03:15:00","EST","DUNWOD",61760,516.6238
"12/17/2024 03:15:00","EST","GENESE",61753,937.5956
"12/17/2024 03:15:00","EST","HUD VL",61758,929.6805
"12/17/2024 03:15:00","EST","LONGIL",61762,1627.7635
"12/17/2024 03:15:00","EST","MHK VL",61756,793.9928
"12/17/2024 03:15:00","EST","MILLWD",61759,236.5453
"12/17/2024 03:15:00","EST","N.Y.C.",61761,4266.677
"12/17/2024 03:15:00","EST","NORTH",61755,593.6784
"12/17/2024 03:15:00","EST","WEST",61752,1614.584
"12/17/2024 03:20:00","EST","CAPITL",61757,1169.1221
"12/17/2024 03:20:00","EST","CENTRL",61754,1487.1638
"12/17/2024 03:20:00","EST","DUNWOD",61760,513.2719
"12/17/2024 03:20:00","EST","GENESE",61753,943.7705
